"model_id","horizon","wis","ae_median","interval_coverage_50","interval_coverage_95","n"
"epiENGAGE-Copycat",0,0.37562962962963,0.574666666666667,0.866666666666667,1,25
"epiENGAGE-Copycat",1,0.368222222222222,0.56,0.8,1,25
"epiENGAGE-Copycat",2,0.412,0.702,0.8,1,25
"epiENGAGE-GBQR",-1,0.127554563368656,0.276358438227264,0.15,1,20
"epiENGAGE-GBQR",0,0.199914347815676,0.383273040093212,0.0666666666666667,0.733333333333333,20
"epiENGAGE-GBQR",1,0.349763353401075,0.532250749654384,0.1,0.5,20
"epiENGAGE-GBQR",2,0.528277659722456,0.683028860713258,0,0,20
"epiENGAGE-INFLAenza",-1,0.167050191537344,0.33249906338692,0.7,1,20
"epiENGAGE-INFLAenza",0,0.226715368253476,0.501005340345331,0.266666666666667,1,20
"epiENGAGE-INFLAenza",1,0.279033604865495,0.633228938323415,0.3,1,20
"epiENGAGE-INFLAenza",2,0.300960485687368,0.648596383079474,0.4,1,20
"epiENGAGE-baseline",-1,0.286295961586587,0.579,0.15,1,20
"epiENGAGE-baseline",0,0.503564214214214,1.158,0.0666666666666667,1,20
"epiENGAGE-baseline",1,0.739422287287287,1.752,0,1,20
"epiENGAGE-baseline",2,0.991322823378935,2.36,0,1,20
"epiENGAGE-ensemble_mean",-1,0.145786967525543,0.311137975778688,0.5,1,20
"epiENGAGE-ensemble_mean",0,0.231690492498957,0.479495960117044,0.466666666666667,1,20
"epiENGAGE-ensemble_mean",1,0.289996591984295,0.528452159096442,0.4,0.9,20
"epiENGAGE-ensemble_mean",2,0.355371272113187,0.665812621896366,0,0.6,20
"epiENGAGE-lop_norm",-1,0.147441966162506,0.309622011767935,0.35,1,20
"epiENGAGE-lop_norm",0,0.234286208760057,0.441116352548285,0.333333333333333,1,20
"epiENGAGE-lop_norm",1,0.292062976024318,0.542942481873418,0.4,1,20
"epiENGAGE-lop_norm",2,0.341170738439837,0.668700311711174,0,1,20
"epiforecasts-dyngam",-1,0.141628235027778,0.25575245,0.8,1,20
"epiforecasts-dyngam",0,0.19395475012963,0.398713666666667,0.4,1,20
"epiforecasts-dyngam",1,0.243244629236111,0.5421785,0.3,1,20
"epiforecasts-dyngam",2,0.266392462805556,0.59347,0.2,1,20
